TF,observed_score,null_mean,null_std,z_score,empirical_p_value,significant,condition
Solyc05g026180,1.4523067,0.018998975,0.99501824,1.4404839,0.13886113886113885,False,stat_Cfulvum
Solyc06g048630,-1.4051459,0.04986485,1.0281909,-1.4151174,0.15684315684315683,False,stat_Cfulvum
Solyc06g051840,2.2904212,0.14779739,0.97385204,2.2001534,0.028971028971028972,True,stat_Cfulvum
Solyc06g053350,-1.4741913,0.0832469,1.04164,-1.4951789,0.13986013986013987,False,stat_Cfulvum
Solyc06g065040,1.4104359,0.05177849,1.0322328,1.3162317,0.18281718281718282,False,stat_Cfulvum
Solyc06g069460,-1.8816226,-0.03098965,0.9995832,-1.8514045,0.06393606393606394,False,stat_Cfulvum
Solyc06g070900,-2.4125488,-0.13911636,1.0052725,-2.2615087,0.024975024975024976,True,stat_Cfulvum
Solyc06g071230,-0.2311377,0.060463686,1.0141338,-0.2875374,0.7612387612387612,False,stat_Cfulvum
Solyc06g071480,-1.1310178,0.038223185,1.0162364,-1.15056,0.26073926073926074,False,stat_Cfulvum
Solyc06g074170,1.4003953,0.021388214,1.059925,1.3010422,0.18681318681318682,False,stat_Cfulvum
Solyc06g082430,0.32734942,0.111766696,0.9977078,0.21607803,0.8391608391608392,False,stat_Cfulvum
Solyc07g026680,-0.02248112,0.0078963395,1.0046686,-0.030236298,0.9760239760239761,False,stat_Cfulvum
Solyc07g053570,0.37235275,0.02921131,1.0039502,0.34179127,0.7412587412587412,False,stat_Cfulvum
Solyc07g054220,0.78944385,0.055816017,0.9541562,0.768876,0.4385614385614386,False,stat_Cfulvum
Solyc07g063420,3.886101,0.06142673,1.010449,3.7851233,0.000999000999000999,True,stat_Cfulvum
Solyc07g066220,4.672714,0.09448227,1.0304873,4.4427834,0.000999000999000999,True,stat_Cfulvum
Solyc08g005260,-0.43626505,-0.0061634863,1.0276228,-0.4185403,0.6733266733266733,False,stat_Cfulvum
Solyc08g006020,4.054872,0.08936315,1.0712548,3.701742,0.000999000999000999,True,stat_Cfulvum
Solyc08g061130,-1.1761212,-0.009037477,0.9821258,-1.1883241,0.23976023976023977,False,stat_Cfulvum
Solyc08g066510,-1.043383,-0.045180697,1.0376261,-0.96200573,0.33166833166833165,False,stat_Cfulvum
Solyc08g077110,2.6069734,0.08067462,1.0199906,2.4767864,0.00999000999000999,True,stat_Cfulvum
Solyc08g080150,-1.7348474,-0.03628837,1.0004511,-1.6977932,0.08891108891108891,False,stat_Cfulvum
Solyc08g081610,3.1290581,0.4789194,1.0022321,2.6442368,0.01098901098901099,True,stat_Cfulvum
Solyc09g010820,-2.0847383,-0.023580864,1.0477331,-1.9672544,0.055944055944055944,False,stat_Cfulvum
Solyc10g018780,-0.7211473,0.047342572,1.0725793,-0.71648777,0.4865134865134865,False,stat_Cfulvum
Solyc10g047640,-0.94413406,0.034560762,0.9736311,-1.0052009,0.3226773226773227,False,stat_Cfulvum
Solyc10g078700,-1.2601224,-0.025238862,1.0253477,-1.2043558,0.22477522477522477,False,stat_Cfulvum
Solyc10g081350,-2.1427042,0.04531416,0.9898152,-2.2105322,0.026973026973026972,True,stat_Cfulvum
Solyc10g084180,0.58199453,0.0078028995,1.0305657,0.55716157,0.5344655344655345,False,stat_Cfulvum
Solyc12g006800,0.69043297,0.03391097,1.0220124,0.64238167,0.4995004995004995,False,stat_Cfulvum
Solyc12g007180,-1.1513981,-0.042530816,1.0165204,-1.0908461,0.2977022977022977,False,stat_Cfulvum
Solyc12g009240,1.164483,0.05657126,0.97812504,1.1326892,0.2627372627372627,False,stat_Cfulvum
Solyc12g014610,2.3092875,0.027247462,1.0706847,2.131384,0.03696303696303696,True,stat_Cfulvum
Solyc12g056510,-0.04201389,0.016958343,1.0012598,-0.05889803,0.9460539460539461,False,stat_Cfulvum
Solyc12g077540,0.6660435,-0.009472205,1.0567732,0.6392249,0.5184815184815185,False,stat_Cfulvum
Solyc12g099370,0.6981341,0.013900415,1.0841326,0.63113475,0.5284715284715285,False,stat_Cfulvum
Solyc01g065540,-0.7564255,0.14817539,1.0257245,-0.881914,0.3626373626373626,False,stat_PSTVd_S23
Solyc01g087990,0.4246064,0.13864288,0.9965259,0.28696048,0.7682317682317682,False,stat_PSTVd_S23
Solyc01g095460,1.0310466,0.3708999,0.93385,0.70690876,0.4595404595404595,False,stat_PSTVd_S23
Solyc01g102300,-0.9554584,0.33843318,0.99229175,-1.3039427,0.1998001998001998,False,stat_PSTVd_S23
Solyc01g103050,-0.44591546,0.1596583,0.98121756,-0.6171656,0.5184815184815185,False,stat_PSTVd_S23
Solyc01g104760,-1.34166,0.1536774,0.92944807,-1.6088446,0.10989010989010989,False,stat_PSTVd_S23
Solyc01g108080,1.2012453,0.17232591,1.0418197,0.9876176,0.3066933066933067,False,stat_PSTVd_S23
Solyc02g062950,0.75185674,0.34542987,1.0022761,0.40550393,0.6753246753246753,False,stat_PSTVd_S23
Solyc02g077840,2.171285,0.47955117,0.97307104,1.7385511,0.08491508491508491,False,stat_PSTVd_S23
Solyc02g084350,0.54896957,0.19631548,1.0100186,0.34915605,0.7522477522477522,False,stat_PSTVd_S23
Solyc02g085580,0.74075836,0.265271,1.0316632,0.460894,0.6583416583416584,False,stat_PSTVd_S23
Solyc02g090220,-2.3740456,0.48073894,0.98740834,-2.8911893,0.003996003996003996,True,stat_PSTVd_S23
Solyc03g026270,0.5115531,0.27946132,1.0097855,0.22984265,0.8391608391608392,False,stat_PSTVd_S23
Solyc03g026280,0.9859029,0.32522228,0.98398983,0.67143035,0.4925074925074925,False,stat_PSTVd_S23
Solyc03g093550,1.0242134,0.683827,0.9736059,0.3496142,0.7252747252747253,False,stat_PSTVd_S23
Solyc03g097120,-1.2988417,0.24064581,0.978896,-1.5726773,0.11788211788211789,False,stat_PSTVd_S23
Solyc03g112930,-0.4026579,0.41709536,0.93374366,-0.8779211,0.3706293706293706,False,stat_PSTVd_S23
Solyc03g113760,-1.2640866,0.2784661,0.9800185,-1.5740037,0.11188811188811189,False,stat_PSTVd_S23
Solyc03g121660,-0.5173396,0.17624342,0.9914047,-0.6995962,0.4825174825174825,False,stat_PSTVd_S23
Solyc04g005100,0.70835924,0.15275873,0.99741864,0.5570384,0.5934065934065934,False,stat_PSTVd_S23
Solyc04g008870,0.9066521,0.19024087,0.9713984,0.737505,0.44255744255744256,False,stat_PSTVd_S23
Solyc04g009950,1.5694215,0.250952,1.0053183,1.3114946,0.21078921078921078,False,stat_PSTVd_S23
